17 Jan 2014,571.55
09:07,575.00,4256
09:20,573.50,136606
09:25,572.65,182858
09:30,575.00,253147
09:35,575.00,298292
09:39,575.05,364358
09:45,570.80,417466
09:50,569.50,487044
09:55,562.90,569879
10:00,563.25,650995
10:05,563.20,674293
10:10,562.90,696827
10:15,562.30,719300
10:20,563.45,744918
10:25,562.90,757550
10:30,562.85,767137
10:35,558.65,836359
10:40,559.55,857670
10:45,559.25,876397
10:50,558.00,905453
10:55,558.00,920140
11:00,557.50,941592
11:05,558.45,954890
11:10,558.00,965687
11:15,556.20,984806
11:20,554.20,1024969
11:25,551.60,1069720
11:30,551.00,1126913
11:35,553.05,1154269
11:40,553.35,1169802
11:45,552.35,1183213
11:50,552.25,1198272
11:55,550.35,1221296
12:00,551.05,1248596
12:05,551.40,1264111
12:10,550.95,1282182
12:15,550.35,1293314
12:20,550.10,1310671
12:25,550.15,1318318
12:30,551.15,1335924
12:35,552.15,1352216
12:40,551.55,1372835
12:45,551.50,1382902
12:50,551.45,1394508
12:55,551.50,1408794
13:00,552.75,1437575
13:05,552.35,1450661
13:10,551.65,1465391
13:15,551.85,1476236
13:20,551.60,1486735
13:25,551.95,1501726
13:30,550.75,1511827
13:35,550.70,1528662
13:40,550.75,1547387
13:45,551.20,1559598
13:50,551.50,1573418
13:55,551.45,1587095
14:00,550.40,1600023
14:05,551.35,1609135