27 Sep 2013,1031.35
10:01,1021.70,4350000
10:05,1020.60,4610000
10:11,1020.20,5010000
10:15,1023.85,5250000
10:21,1022.00,5560000
10:27,1023.25,5810000
10:31,1022.90,5940000
10:37,1026.25,6330000
10:41,1027.95,6540000
10:45,1029.30,6980000
10:51,1028.65,7190000
10:57,1029.00,7410000
11:01,1027.50,7500000
11:05,1029.60,7650000
11:11,1026.75,7870000
11:15,1029.00,7960000
11:21,1028.85,8080000
11:27,1028.45,8250000
11:31,1028.50,8310000
11:37,1030.00,8530000
11:41,1033.75,8850000
11:47,1032.95,9330000
11:49,1030.85,9380000
11:55,1029.00,9610000
12:01,1030.05,9740000
12:05,1029.05,9830000
12:11,1024.00,10240000
12:17,1023.10,10670000
12:21,1024.00,10990000
12:26,1024.20,11240000
12:31,1024.00,11450000
12:33,1023.10,11530000
12:37,1023.95,11690000
12:39,1024.00,11850000
12:43,1024.00,11940000
12:45,1023.95,12000000
12:49,1023.00,12150000
12:51,1023.70,12200000
12:55,1024.00,12490000
12:57,1023.45,12510000
12:59,1022.65,12550000
13:03,1024.00,12670000
13:06,1023.65,12820000
13:09,1023.95,12910000
13:13,1027.45,13090000
13:15,1026.35,13200000
13:19,1029.90,13490000
13:21,1029.10,13630000
13:25,1028.15,13810000
13:27,1028.60,13860000
13:31,1028.55,14020000
13:33,1030.95,14130000
13:37,1029.35,14280000
13:41,1031.15,14480000
13:43,1034.75,14770000
13:45,1033.80,14980000
13:49,1035.90,15520000
13:51,1034.70,15800000
13:55,1043.50,17030000
13:57,1045.35,17690000
14:01,1045.60,18450000
14:03,1043.70,18730000
14:07,1042.65,19030000
14:09,1043.35,19110000
14:13,1043.10,19280000
14:15,1044.65,19370000
14:19,1043.35,19660000
14:21,1041.95,19820000